Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3162.25,3164.050048828125,3122.39990234375,3135.25,3135.25,405100
2019-01-02,3095.550048828125,3097.10009765625,3021.64990234375,3028.449951171875,3028.449951171875,962800
2019-01-03,3030.89990234375,3031.14990234375,2956.199951171875,2960.39990234375,2960.39990234375,898900
2019-01-04,2959.25,3013.35009765625,2949.300048828125,3001.699951171875,3001.699951171875,899900
2019-01-07,3040.64990234375,3055.300048828125,2991.449951171875,2997.10009765625,2997.10009765625,660600
2019-01-08,3000.550048828125,3021.35009765625,2987.60009765625,3010.300048828125,3010.300048828125,714400
2019-01-09,3020.39990234375,3031.699951171875,2951.89990234375,2975.5,2975.5,902200
2019-01-10,2979.699951171875,2990.050048828125,2961.14990234375,2972.35009765625,2972.35009765625,589400
2019-01-11,2980.300048828125,3003.5,2961.60009765625,2971.25,2971.25,608200
2019-01-14,2969.699951171875,2969.75,2930.10009765625,2939.35009765625,2939.35009765625,564500
2019-01-15,2953.300048828125,2989.75,2937.0,2986.300048828125,2986.300048828125,646500
2019-01-16,2997.64990234375,3003.949951171875,2963.14990234375,2967.050048828125,2967.050048828125,615700
2019-01-17,2974.89990234375,2981.64990234375,2948.10009765625,2963.050048828125,2963.050048828125,564600
2019-01-18,2969.75,2980.300048828125,2940.75,2957.10009765625,2957.10009765625,497200
2019-01-21,2967.199951171875,2975.39990234375,2938.75,2945.800048828125,2945.800048828125,436800
2019-01-22,2936.050048828125,2936.050048828125,2864.5,2880.64990234375,2880.64990234375,714300
2019-01-23,2881.300048828125,2921.199951171875,2877.35009765625,2896.89990234375,2896.89990234375,560200
2019-01-24,2899.949951171875,2902.10009765625,2864.14990234375,2893.5,2893.5,436200
2019-01-25,2905.949951171875,2921.60009765625,2846.949951171875,2857.550048828125,2857.550048828125,517000
2019-01-28,2859.199951171875,2862.199951171875,2802.35009765625,2827.14990234375,2827.14990234375,547400
2019-01-29,2823.75,2846.35009765625,2803.75,2828.35009765625,2828.35009765625,488100
2019-01-30,2835.050048828125,2892.35009765625,2830.800048828125,2882.050048828125,2882.050048828125,762400
2019-01-31,2899.85009765625,2920.35009765625,2875.60009765625,2915.85009765625,2915.85009765625,1064800
2019-02-01,2867.89990234375,2867.89990234375,2777.300048828125,2815.64990234375,2815.64990234375,1635600
2019-02-04,2814.300048828125,2815.89990234375,2737.25,2794.449951171875,2794.449951171875,830400
2019-02-05,2791.75,2806.60009765625,2749.25,2768.300048828125,2768.300048828125,615700
2019-02-06,2776.35009765625,2842.5,2741.25,2832.949951171875,2832.949951171875,717500
2019-02-07,2829.85009765625,2855.050048828125,2806.60009765625,2835.800048828125,2835.800048828125,665600
2019-02-08,2821.64990234375,2826.89990234375,2731.699951171875,2740.5,2740.5,930800
2019-02-11,2739.60009765625,2756.10009765625,2675.5,2725.199951171875,2725.199951171875,1163200
2019-02-12,2724.39990234375,2805.199951171875,2713.0,2767.949951171875,2767.949951171875,1449800
2019-02-14,2727.0,2741.60009765625,2678.0,2733.64990234375,2733.64990234375,1248400
2019-02-15,2739.5,2740.64990234375,2653.75,2677.10009765625,2677.10009765625,1040800
2019-02-18,2681.60009765625,2696.25,2649.25,2652.0,2652.0,887900
2019-02-19,2654.449951171875,2725.25,2654.199951171875,2689.699951171875,2689.699951171875,1026600
2019-02-20,2701.14990234375,2772.550048828125,2701.14990234375,2765.0,2765.0,1231100
2019-02-21,2775.5,2805.60009765625,2760.64990234375,2796.14990234375,2796.14990234375,1126800
2019-02-22,2796.75,2846.699951171875,2774.60009765625,2842.199951171875,2842.199951171875,1095000
2019-02-25,2854.10009765625,2871.300048828125,2826.35009765625,2852.10009765625,2852.10009765625,1426600
2019-02-26,2808.75,2871.050048828125,2777.300048828125,2854.89990234375,2854.89990234375,1165100
2019-02-27,2874.39990234375,2893.14990234375,2827.39990234375,2846.85009765625,2846.85009765625,1181000
2019-02-28,2862.35009765625,2892.050048828125,2845.25,2871.60009765625,2871.60009765625,2113500
2019-03-01,2899.5,2925.64990234375,2895.0,2922.699951171875,2922.699951171875,1482700
2019-03-05,2927.64990234375,3005.550048828125,2918.699951171875,3000.199951171875,3000.199951171875,1314100
2019-03-06,3018.449951171875,3035.699951171875,3004.050048828125,3021.300048828125,3021.300048828125,1155100
2019-03-07,3026.550048828125,3026.550048828125,2977.25,2992.85009765625,2992.85009765625,911100
2019-03-08,2967.85009765625,2975.60009765625,2938.050048828125,2947.949951171875,2947.949951171875,999800
